Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2022,10,16,22.8,5.8,8.4,12.4,-,-,-,-,-
Mandai,2022,10,17,3,1.8,2.2,3,-,-,-,-,-
Mandai,2022,10,18,0,0,0,0,-,-,-,-,-
Mandai,2022,10,19,7,7,7,7,-,-,-,-,-
Mandai,2022,10,20,0,0,0,0,-,-,-,-,-
Mandai,2022,10,21,19.6,10,14.6,17.6,-,-,-,-,-
Mandai,2022,10,22,2.6,1.4,1.8,2.2,-,-,-,-,-
Mandai,2022,10,23,0,0,0,0,-,-,-,-,-
Mandai,2022,10,24,0.6,0.2,0.4,0.6,-,-,-,-,-
Mandai,2022,10,25,15.6,8,9.8,11.8,-,-,-,-,-
Mandai,2022,10,26,1.4,0.4,0.6,0.8,-,-,-,-,-
Mandai,2022,10,27,1.6,0.6,1.2,1.4,-,-,-,-,-
Mandai,2022,10,28,1.2,0.6,0.8,0.8,-,-,-,-,-
Mandai,2022,10,29,0,0,0,0,-,-,-,-,-
Mandai,2022,10,30,58,39,45.4,55.4,-,-,-,-,-
Mandai,2022,10,31,8.2,13.4,45.4,54.8,-,-,-,-,-
Mandai,2022,11,1,0,0,0,0,-,-,-,-,-
Mandai,2022,11,2,0,0,0,0,-,-,-,-,-
Mandai,2022,11,3,13.4,9.6,12.8,13.4,-,-,-,-,-
Mandai,2022,11,4,46.2,30.2,39.2,39.2,-,-,-,-,-
Mandai,2022,11,5,23.2,27,45.2,49.8,-,-,-,-,-
Mandai,2022,11,6,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,11,7,45.2,14.6,25.8,42.6,-,-,-,-,-
Mandai,2022,11,8,32.4,19.6,30.4,31.2,-,-,-,-,-
